Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
LinkedList,42,11,91,36,70,58,55,67,49,87,39
LinkedList,43,8,94,33,74,54,62,78,44,102,35
LinkedList,44,11,90,26,78,46,68,67,53,91,42
LinkedList,45,11,90,26,76,47,62,76,44,104,32
LinkedList,46,10,92,29,74,57,53,78,44,97,35
LinkedList,47,9,93,26,79,47,59,64,47,83,41
LinkedList,48,17,88,45,66,69,49,90,43,105,37
LinkedList,49,10,91,31,73,56,55,75,48,96,36
LinkedList,50,10,91,26,77,49,60,68,48,89,35
LinkedList,51,8,93,31,75,54,63,78,48,94,39
LinkedList,52,9,92,26,77,44,65,67,52,86,44
LinkedList,53,9,92,30,75,53,57,70,52,87,45
LinkedList,54,9,92,31,72,55,59,79,46,101,34
LinkedList,55,8,93,30,74,52,60,72,50,91,42
LinkedList,56,9,92,31,75,46,64,75,51,92,41
LinkedList,57,4,97,22,80,39,69,59,57,74,46
LinkedList,58,9,92,32,73,45,63,67,48,93,35
LinkedList,59,12,89,29,75,44,64,73,49,92,41
LinkedList,60,11,91,25,78,52,59,69,50,87,43
LinkedList,61,10,91,30,75,44,66,65,52,84,40
LinkedList,62,5,96,26,79,39,68,56,56,74,46
LinkedList,63,10,91,25,80,44,68,62,59,78,52
LinkedList,64,6,95,21,82,46,65,64,51,80,41
LinkedList,65,13,88,38,70,60,54,78,44,100,37
LinkedList,66,13,88,40,66,64,53,82,45,101,36
LinkedList,67,4,97,25,77,45,60,62,51,83,45
LinkedList,68,17,87,33,76,52,62,70,49,97,36
LinkedList,69,10,91,33,77,48,67,60,57,81,47
LinkedList,70,9,92,21,81,49,58,67,54,93,45
LinkedList,71,14,87,35,69,66,50,86,39,103,34
LinkedList,72,12,90,35,72,53,60,69,50,86,41
LinkedList,73,7,95,28,76,48,61,77,48,101,40
LinkedList,74,9,93,37,74,53,61,71,54,89,43
LinkedList,75,11,91,31,73,61,53,82,43,98,35
LinkedList,76,18,83,36,68,58,51,79,37,99,30
LinkedList,77,10,92,22,82,39,70,58,58,75,43
LinkedList,78,8,93,27,77,51,59,75,47,88,41
LinkedList,79,15,86,35,68,58,56,77,48,96,38
LinkedList,80,9,92,30,74,49,60,66,49,82,37
LinkedList,81,10,91,30,76,52,60,76,47,94,39
LinkedList,82,14,89,31,74,45,62,66,48,95,39
LinkedList,83,8,94,18,85,37,73,57,58,78,45
LinkedList,84,7,94,28,76,45,64,60,52,76,46
LinkedList,85,6,96,30,75,42,67,60,54,80,42
LinkedList,86,10,92,29,79,51,61,74,48,103,37
LinkedList,87,11,90,27,77,47,63,70,48,98,33
LinkedList,88,9,93,32,72,51,56,72,47,91,38
LinkedList,89,9,92,33,72,50,59,73,49,94,39
LinkedList,90,10,91,31,74,63,52,85,36,105,28
LinkedList,91,11,90,29,76,50,64,74,51,99,39
LinkedList,92,15,86,40,67,54,58,77,46,94,37
LinkedList,93,11,91,35,69,55,57,65,52,84,42
LinkedList,94,14,88,40,71,59,58,83,45,101,37
LinkedList,95,5,97,27,78,51,59,76,44,97,36
LinkedList,96,15,86,35,69,57,56,71,47,91,36
LinkedList,97,15,87,32,77,49,66,71,55,90,47
LinkedList,98,9,92,22,84,34,76,52,65,69,53
LinkedList,99,1,9,3,8,3,8,4,7,5,6
Cuckoo,0,15,955,66,1812,51,1947,73,1925,95,1903
Cuckoo,1,18,952,47,1831,44,1954,59,1939,84,1914
Cuckoo,2,17,953,55,1823,55,1943,80,1918,97,1901
Cuckoo,3,5,965,55,1823,49,1949,71,1927,85,1913
Cuckoo,4,15,955,49,1829,52,1946,72,1926,86,1912
Cuckoo,5,16,954,43,1835,55,1943,74,1924,95,1903
Cuckoo,6,8,962,62,1816,60,1938,77,1921,95,1903
Cuckoo,7,6,964,24,1854,52,1946,74,1924,86,1912
Cuckoo,8,5,965,26,1852,43,1955,63,1935,87,1911
Cuckoo,9,9,961,27,1851,44,1954,61,1937,81,1917
Cuckoo,10,8,962,21,1857,46,1952,64,1934,89,1909
Cuckoo,11,6,964,25,1853,50,1948,72,1926,93,1905
Cuckoo,12,10,960,30,1848,60,1938,82,1916,107,1891
Cuckoo,13,10,960,30,1848,49,1949,67,1931,82,1916
Cuckoo,14,12,958,27,1851,50,1948,73,1925,100,1898
Cuckoo,15,9,961,29,1849,50,1948,72,1926,83,1915
Cuckoo,16,8,962,27,1851,39,1959,50,1948,69,1929
Cuckoo,17,10,960,21,1857,52,1946,68,1930,87,1911
Cuckoo,18,10,960,32,1846,41,1957,58,1940,81,1917
Cuckoo,19,5,965,24,1854,53,1945,74,1924,97,1901
Cuckoo,20,12,958,31,1847,32,1966,56,1942,84,1914
Cuckoo,21,9,961,16,1862,62,1936,79,1919,98,1900
Cuckoo,22,8,962,28,1850,46,1952,64,1934,83,1915
Cuckoo,23,12,958,35,1843,44,1954,65,1933,80,1918
Cuckoo,24,12,958,22,1856,49,1949,66,1932,84,1914
Cuckoo,25,10,960,29,1849,46,1952,61,1937,85,1913
Cuckoo,26,3,967,23,1855,50,1948,66,1932,85,1913
Cuckoo,27,5,965,19,1859,54,1944,72,1926,86,1912
Cuckoo,28,15,955,28,1850,57,1941,76,1922,95,1903
Cuckoo,29,14,956,31,1847,63,1935,84,1914,100,1898
Cuckoo,30,10,960,34,1844,51,1947,70,1928,92,1906
Cuckoo,31,10,960,30,1848,48,1950,66,1932,87,1911
Cuckoo,32,4,966,21,1857,57,1941,78,1920,100,1898
Cuckoo,33,8,962,29,1849,54,1944,69,1929,82,1916
Cuckoo,34,13,957,30,1848,38,1960,70,1928,88,1910
Cuckoo,35,7,963,34,1844,41,1957,63,1935,82,1916
Cuckoo,36,7,963,36,1842,60,1938,80,1918,101,1897
Cuckoo,37,15,955,21,1857,57,1941,76,1922,100,1898
Cuckoo,38,9,961,33,1845,50,1948,66,1932,87,1911
Cuckoo,39,10,960,34,1844,43,1955,69,1929,90,1908
Cuckoo,40,6,964,32,1846,50,1948,72,1926,88,1910
Cuckoo,41,11,959,28,1850,50,1948,70,1928,94,1904
Cuckoo,42,8,962,32,1846,43,1955,72,1926,93,1905
